Source,Target,Type,Id,Label,timeset,Weight,partition
95907,2282,Undirected,81507,,,1,1
91721,2282,Undirected,79155,,,1,1
67162,2282,Undirected,63565,,,1,1
61152,2282,Undirected,59549,,,1,1
59030,2282,Undirected,57994,,,1,1
46944,2282,Undirected,47541,,,1,1
30012,2282,Undirected,31514,,,1,1
2285,98695,Undirected,2424,,,1,1
2313,12637,Undirected,2445,,,1,1
2320,87764,Undirected,2448,,,1,2
2320,84811,Undirected,2447,,,1,1
2321,34247,Undirected,2449,,,1,1
2324,103347,Undirected,2456,,,1,1
2324,56931,Undirected,2453,,,1,1
2324,44622,Undirected,2452,,,1,1
2324,24300,Undirected,2451,,,1,1
2329,94874,Undirected,2459,,,1,1
2329,17858,Undirected,2458,,,1,1
2329,15457,Undirected,2457,,,1,1
2334,63741,Undirected,2465,,,1,2
2334,63741,Undirected,2464,,,1,1
2335,29464,Undirected,2468,,,1,2
2335,29464,Undirected,2467,,,1,1
2335,11799,Undirected,2466,,,1,1
11799,2335,Undirected,12798,,,1,2
2349,72153,Undirected,2503,,,1,1
107956,2349,Undirected,87594,,,1,1
102485,2349,Undirected,85365,,,1,1
2354,71915,Undirected,2505,,,1,1
81600,2354,Undirected,71770,,,1,1
10979,2354,Undirected,12113,,,1,1
2389,76856,Undirected,2541,,,1,1
2394,76356,Undirected,2543,,,1,1
2403,79283,Undirected,2551,,,1,1
2406,2408,Undirected,2552,,,1,1
2412,4575,Undirected,2553,,,1,1
2423,95741,Undirected,2570,,,1,2
2423,2428,Undirected,2569,,,1,2
2428,2433,Undirected,2571,,,1,1
100392,2428,Undirected,84373,,,1,1
95741,2428,Undirected,81448,,,1,2
58392,2428,Undirected,57407,,,1,1
