Id,Label,timeset,partition
3875,3875,,Padova
3877,3877,,Vicenza
3878,3878,,Padova
3879,3879,,Vicenza
3884,3884,,Padova
3886,3886,,Padova
3894,3894,,Padova
3897,3897,,Vicenza
3900,3900,,Padova
3903,3903,,Padova
3905,3905,,Vicenza
3906,3906,,Vicenza
3908,3908,,Vicenza
3909,3909,,Padova
3912,3912,,Padova
3913,3913,,Vicenza
3920,3920,,Padova
3921,3921,,Vicenza
3922,3922,,Vicenza
3924,3924,,Vicenza
3930,3930,,Vicenza
3940,3940,,Padova
3942,3942,,Padova
3948,3948,,Padova
3957,3957,,Padova
3961,3961,,Padova
3962,3962,,Padova
3967,3967,,Padova
3968,3968,,Padova
3969,3969,,Vicenza
3973,3973,,Padova
3976,3976,,Vicenza
3977,3977,,Vicenza
3985,3985,,Padova
3986,3986,,Padova
3987,3987,,Vicenza
3991,3991,,Padova
3992,3992,,Padova
3996,3996,,Vicenza
3999,3999,,Padova
4004,4004,,Vicenza
4007,4007,,Padova
4008,4008,,Padova
4012,4012,,Padova
4014,4014,,Padova
4017,4017,,Padova
4020,4020,,Padova
4023,4023,,Padova
4029,4029,,Padova
4033,4033,,Padova
4034,4034,,Vicenza
4035,4035,,Padova
4037,4037,,Vicenza
4038,4038,,Vicenza
4040,4040,,Padova
4044,4044,,Padova
4050,4050,,Vicenza
4052,4052,,Padova
4061,4061,,Padova
4071,4071,,Vicenza
4072,4072,,Vicenza
4075,4075,,Padova
4080,4080,,Padova
4081,4081,,Vicenza
4085,4085,,Padova
4086,4086,,Padova
4088,4088,,Vicenza
4089,4089,,Padova
4098,4098,,Padova
4107,4107,,Padova
4110,4110,,Padova
4120,4120,,Padova
4145,4145,,Padova
4159,4159,,Vicenza
4174,4174,,Vicenza
4181,4181,,Padova
4186,4186,,Vicenza
4193,4193,,Padova
4195,4195,,Vicenza
4215,4215,,Padova
4228,4228,,Padova
4229,4229,,Vicenza
4231,4231,,Vicenza
4233,4233,,Padova
4236,4236,,Vicenza
4237,4237,,Vicenza
4239,4239,,Vicenza
4241,4241,,Padova
4242,4242,,Padova
4246,4246,,Vicenza
4251,4251,,Padova
4252,4252,,Padova
4253,4253,,Vicenza
4254,4254,,Vicenza
4255,4255,,Vicenza
4257,4257,,Padova
4258,4258,,Padova
